epoch,loss,val_loss
0,-0.57528589137,0.820553399965
1,-1.19534681213,2.56970653848
2,-1.52207566612,4.30838489566
3,-1.63198201026,6.52928521211
4,-1.71788899802,5.89853349033
5,-1.76542868099,5.77782755347
6,-1.7980681478,6.12716037513
7,-1.82760090549,1.76888215309
8,-1.85101819548,2.01264109874
9,-1.87094926319,-0.026937322447
10,-1.88929041093,5.74695470191
11,-1.90955277338,6.01368773727
12,-1.91678368268,2.04638669264
13,-1.93212887209,5.63528297551
14,-1.94550627658,-0.02246395274
15,-1.95494248783,2.45031777145
16,-1.96667615967,6.95301684723
17,-1.97465953286,inf
18,-1.98479924401,6.39982609626
19,-1.99100405293,4.40795343094
20,-2.00246665942,-0.801440350776
21,-2.00837127766,5.67486840498
22,-2.01283812784,2.70401944156
23,-2.02381489515,7.68375344713
24,-2.02737749466,2.63646202104
25,-2.03213162456,-1.3947998437
26,-2.03978121457,1.08510126875
27,-2.04855697493,1.93952746069
28,-2.05034729311,-0.92904699404
29,-2.05583566911,0.616439737712
30,-2.06086680446,-1.68796516594
31,-2.06508490598,3.6495095904
32,-2.07219056506,7.6528144477
33,-2.07683130752,0.926004097303
34,-2.08338537757,-1.15340920005
35,-2.08066357597,8.76386058909
36,-2.08829536738,-1.02240706791
37,-2.09180077482,-1.39833385983
38,-2.09680170661,0.323341033877
39,-2.09954535339,inf
40,-2.09785654416,2.29234512617
41,-2.10724277912,-1.06196616321
42,-2.10813145891,-1.08356034179
43,-2.11309654446,3.72924202868
44,-2.11894409522,-0.961590397326
45,-2.1204618647,-0.269057264189
46,-2.1243282902,1.12474525924
47,-2.1254429661,-0.983538007291
48,-2.1290353623,2.08316515948
49,-2.12895875271,-1.57882603077
